"Scholl","W.L.","Operating.Expenses.per.Team.Men.s.Team","Revenues.Men.s.Team","Expenses.Men.s.Team","Coference","clustergroup"
"85","Sam Houston State",0.636,266977,1194442,1194442,"Southland Conference",4
"86","South Florida",0.632,1389781,4931868,4931868,"American Athletic Conference",4
"87","Texas Southern",0.632,127730,1713806,1696591,"Southwestern Athletic Conf.",4
"88","NJIT",0.629,333829,1857284,1857283,"ASUN Conference",4
"89","Prairie View ",0.629,277918,1184538,1184538,"Southwestern Athletic Conf.",4
"90","Brown",0.625,440738,1239495,1239495,"The Ivy League",4
"91","Marshall",0.622,1088921,3161233,3161233,"Conference USA",4
"92","Texas Christian",0.622,2062641,14852389,15718763,"Big 12 Conference",3
"93","Maryland-Baltimore County",0.618,571936,2461304,2222771,"America East Conference",4
"94","San Diego State",0.618,2733090,6248159,5786034,"Mountain West Conference",3
"95","St. John's (NY) ",0.618,2290446,10028677,10028677,"Big East Conference",3
"96","Harvard",0.613,439653,1474941,1474941,"The Ivy League",4
"97","Pennsylvania",0.613,555447,2049825,2049825,"The Ivy League",4
"98","Memphis",0.611,1468391,8217757,8217757,"American Athletic Conference",3
"99","Minnesota ",0.611,2056051,18835871,9115817,"Big Ten Conference",3
"100","Norfolk State",0.611,386482,1477761,1477761,"Mid-Eastern Athletic Conf.",4
"101","Campbell",0.606,556005,2085183,2085182,"Big South Conference",4
"102","Lamar",0.606,232987,1405823,1384151,"Southland Conference",4
"103","Louisiana Tech",0.606,541345,2566614,2556193,"Conference USA",4
"104","Mississippi ",0.606,2219138,11224450,9432295,"Southeastern Conference",3
"105","Southern Mississippi",0.606,643577,2169053,2169053,"Conference USA",4
"106","Fairleigh Dickinson ",0.6,326196,1846780,1846780,"Northeast Conference",4
"107","Winthrop",0.6,230080,2101706,1780882,"Big South Conference",4
"108","Wright State",0.6,782338,3330147,3330147,"Horizon League",4
"109","Wichita State",0.595,1838637,8182863,8182863,"American Athletic Conference",3
"110","Brigham Young",0.594,1795176,7447430,7447430,"West Coast Conference",3
"111","Duquesne",0.594,1359887,5612982,5612982,"Atlantic 10 Conference",4
"112","Louisiana",0.594,523170,2780548,2780548,"Sun Belt Conference",4
"113","North Carolina A&T",0.594,264037,1409516,1409516,"Mid-Eastern Athletic Conf.",2
"114","Baylor ",0.588,2091702,9860432,9860432,"Big 12 Conference",3
"115","Clemson",0.588,1128513,9224524,8229736,"Atlantic Coast Conference",3
"116","Florida International",0.588,536148,2004600,1951680,"Conference USA",4
"117","Grand Canyon",0.588,1058088,5331006,5331006,"Western Athletic Conference",4
"118","Louisville ",0.588,3919664,42759248,19180078,"Atlantic Coast Conference",1
"119","Loyola (IL)",0.588,655452,4348837,4348837,"Missouri Valley Conference",4
"120","Oklahoma ",0.588,2643937,12355263,10072404,"Big 12 Conference",3
"121","Seton Hall ",0.588,1332286,7506127,7506127,"Big East Conference",3
"122","Syracuse ",0.588,1999387,34567071,14845555,"Atlantic Coast Conference",1
"123","Western Kentucky",0.588,849956,3455918,3455918,"Conference USA",4
"124","San Diego",0.583,594930,3120907,3120907,"West Coast Conference",4
"125","Hawaii",0.581,585632,2960055,2960055,"Big West Conference",4
"126","Oregon State",0.581,1189012,6326806,6203088,"Pac-12 Conference",3
"127","Georgetown",0.576,3411520,13573946,13573946,"Big East Conference",1
"128","New Orleans",0.576,252571,1052459,1052459,"Southland Conference",2
"129","Alabama-Birmingham",0.571,685084,3628668,3533944,"Conference USA",4
"130","Bradley ",0.571,587983,3778660,3778660,"Missouri Valley Conference",4
"131","Creighton",0.571,1334371,8590055,8590055,"Big East Conference",3
